Geo Point;Geo Shape;insee;emp2006;emp2007;emp2008;emp2009;emp2010;emp2011;emp2012;emp2013;emp2014;emp2015;objectid_1;objectid;emp1999;emp1990;emp1982;emp1975;emp2016;emp2017
48.9650938012, 1.97455932712;"{""coordinates"": [[1.974559327123862, 48.96509380120954]], ""type"": ""MultiPoint""}";78643;2104.014776;2135.280724;2055.34209;1975.621717;1905.367352;1898.04;1851.11;1892.60165791;1922.614305;1931.9877786;772;772;1959;1748;1232;1370;1900.94590499;1877.49676727
49.0167521315, 1.53097096043;"{""coordinates"": [[1.530970960427969, 49.01675213148699]], ""type"": ""MultiPoint""}";78668;49.621556;53.683777;56.551489;62.167974;62.774112;64.8;59.59;52.14372728;57.21938;60.53245655;779;779;66;78;48;135;63.00891874;64.50594485
48.8535993995, 1.77389487146;"{""coordinates"": [[1.773894871456101, 48.85359939947988]], ""type"": ""MultiPoint""}";78681;109.073193;118.582693;118.89034;131.334792;132.069502;144.41;147.55;150.32479592;153.339854;160.80585491;783;783;74;64;28;30;147.18693427;144.67770025
48.8203783833, 1.88278465786;"{""coordinates"": [[1.882784657862368, 48.82037838327373]], ""type"": ""MultiPoint""}";78683;2299.036611;2241.125474;2141.446197;2029.941688;1924.970831;1797.89;1712.39;1683.5663528;1588.047098;1587.41496521;784;784;1478;833;724;375;1649.66596788;1738.2178274
48.3269478705, 2.15094775353;"{""coordinates"": [[2.15094775353189, 48.32694787047454]], ""type"": ""MultiPoint""}";91022;31.415555;34.483958;34.231281;34.204907;33.197486;19.69;17.53;23.55144675;24.223025;25.04120997;791;791;47;17;8;45;25.02575961;22.77556015
48.3821662147, 2.16967825865;"{""coordinates"": [[2.169678258648462, 48.38216621474782]], ""type"": ""MultiPoint""}";91079;96.535051;93.579743;92.316481;96.46254;82.878747;72.65;72.79;73.9315849;75.460637;85.99137492;804;804;88;63;56;60;76.94486288;75.57756727
48.4703887623, 2.28503172355;"{""coordinates"": [[2.285031723547798, 48.47038876229463]], ""type"": ""MultiPoint""}";91080;330.754521;319.600825;322.164965;308.553671;289.363343;297.95;293.45;311.40039221;320.716508;333.1143331;805;805;414;416;496;590;338.06453812;342.26303907
48.4640812766, 2.14308356781;"{""coordinates"": [[2.143083567812681, 48.46408127661136]], ""type"": ""MultiPoint""}";91109;1117.719951;1066.363577;952.290823;777.712968;714.017109;600.68;524.47;543.45525158;593.580609;632.26860401;818;818;1042;657;1056;1205;694.96416309;760.00592055
48.6777370386, 2.42149821345;"{""coordinates"": [[2.421498213450699, 48.67773703864395]], ""type"": ""MultiPoint""}";91201;6525.812351;6498.244686;6602.991886;6508.118855;6548.723965;6529.06;6503.58;6557.59421449;6692.387837;6716.8879486;847;847;6480;6964;6052;6295;6720.67840965;6695.24828983
48.6110965758, 2.16460297673;"{""coordinates"": [[2.164602976734863, 48.61109657582009]], ""type"": ""MultiPoint""}";91243;237.182543;237.473565;251.665245;258.23189;272.853444;285.58;310.64;360.14017307;402.898531;413.50422305;859;859;289;213;216;190;435.43687649;446.49386145
48.6200953035, 2.08302478403;"{""coordinates"": [[2.083024784025173, 48.620095303527414]], ""type"": ""MultiPoint""}";91249;519.064911;530.793672;503.934842;478.569356;456.727745;441.75;402.55;396.87332711;407.927013;421.76929166;863;863;455;375;372;410;426.05255513;425.51935226
48.6918720393, 2.37366112166;"{""coordinates"": [[2.373661121655591, 48.69187203933757]], ""type"": ""MultiPoint""}";91326;4881.916401;4686.360299;4700.17748;4610.670189;4658.491097;4733.08;4712.18;4571.26600825;4642.02752;4589.03951714;877;877;4818;5026;5060;5640;4562.69871438;4658.20782345
48.5273024839, 2.19705789345;"{""coordinates"": [[2.197057893445943, 48.52730248388474]], ""type"": ""MultiPoint""}";91378;222.333502;222.53534;233.680578;219.605974;195.114144;189.31;188.66;171.38714183;154.899177;136.79248417;891;891;276;275;416;445;147.59531401;171.17021961
48.3475710834, 2.03720860003;"{""coordinates"": [[2.037208600033066, 48.34757108340802]], ""type"": ""MultiPoint""}";91414;48.200335;50.121415;47.745909;42.762844;49.210971;51.34;51.51;52.83638353;54.948064;56.47985519;900;900;57;42;84;45;56.93098996;48.9179817
48.6061361006, 2.21884550676;"{""coordinates"": [[2.218845506757958, 48.60613610061605]], ""type"": ""MultiPoint""}";91461;1546.427277;1471.350307;1432.442585;1433.573266;1443.728099;1324.07;1325.12;1374.13144921;1401.150262;1351.17041538;910;910;1099;1220;1040;1405;1298.25803517;1341.2945626
48.7001562134, 2.18706132514;"{""coordinates"": [[2.18706132514414, 48.70015621342105]], ""type"": ""MultiPoint""}";91471;11212.37381;11241.438187;11130.642243;11201.869335;11204.329249;11241.6;11068.28;10973.8899523;10795.548525;10731.2199025;914;914;12070;11623;13312;12990;10737.1226281;10786.6131094
