Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
26;Métro;TROCADERO;8895309;6;9;;;;Paris;16
30;Métro;LA MOTTE-PICQUET-GRENELLE;7972850;6;8;10;;;Paris;15
37;Métro;CHATILLON-MONTROUGE;7124158;13;;;;;Chatillon;
46;Métro;STALINGRAD;6629154;2;5;7;;;Paris;19
87;Métro;REAUMUR-SEBASTOPOL;4935953;3;4;;;;Paris;3
127;Métro;DUPLEIX;3852225;6;;;;;Paris;15
166;Métro;SAINT-MAUR;3230397;3;;;;;Paris;11
225;Métro;RUE DU BAC;2346931;12;;;;;Paris;7
263;Métro;MABILLON;1794086;10;;;;;Paris;6
284;Métro;PICPUS;1321636;6;;;;;Paris;12
63;RER;MASSY-VERRIERES;586015;B;;;;;Massy;
62;Métro;PIGALLE;5890360;2;12;;;;Paris;18
138;Métro;PORTE DES LILAS;3695614;3bis;11;;;;Paris;20
8;Métro;BIBLIOTHEQUE;16433305;14;;;;;Paris;13
42;Métro;PONT DE NEUILLY;6786803;1;;;;;Neuilly Sur Seine;
65;Métro;MARCEL SEMBAT;5783355;9;;;;;Boulogne Billancourt;
82;Métro;GLACIERE;5083429;6;;;;;Paris;13
3;Métro;GARE DE LYON;35926081;1;14;A;;;Paris;12
186;Métro;BERAULT;2965952;1;;;;;Vincennes;
10;Métro;BASTILLE;13438906;1;5;8;;;Paris;12
218;Métro;LOURMEL;2412341;8;;;;;Paris;15
86;Métro;SAINT-DENIS-UNIVERSITE;4969367;13;;;;;Saint Denis;
220;Métro;LOUIS BLANC;2395333;7;7bis;;;;Paris;10
150;Métro;DUROC;3509587;10;13;;;;Paris;7
254;Métro;AVRON;1958808;2;;;;;Paris;11
243;Métro;MICHEL-ANGE-MOLITOR;2101155;9;10;;;;Paris;16
296;Métro;PORTE D'AUTEUIL;671481;10;;;;;Paris;16
261;Métro;FELIX FAURE;1810078;8;;;;;Paris;15
45;RER;GENTILLY;2031709;B;;;;;Gentilly;
271;Métro;CHATEAU-LANDON;1663800;7;;;;;Paris;10
155;Métro;JOURDAIN;3418774;11;;;;;Paris;20
288;Métro;TEMPLE;1239969;3;;;;;Paris;2
175;Métro;CHARENTON-ECOLES;3078684;8;;;;;Charenton;
292;Métro;BOTZARIS;976263;7bis;;;;;Paris;19
233;Métro;VILLEJUIF-PAUL VAILLANT-COUTURIER;2246780;7;;;;;Villejuif;
1;Métro;GARE DU NORD;50793797;4;5;;;;Paris;10
260;Métro;MALAKOFF-RUE ETIENNE DOLET;1832499;13;;;;;Malakoff;
69;Métro;LA COURNEUVE-8 MAI 1945;5662148;7;;;;;La Courneuve;
73;Métro;BERCY;5352928;6;14;;;;Paris;12
118;Métro;LA MUETTE;4050143;9;;;;;Paris;16
185;Métro;ARGENTINE;2972019;1;;;;;Paris;17
129;Métro;LEDRU-ROLLIN;3820123;8;;;;;Paris;12
206;Métro;JACQUES BONSERGENT;2591769;5;;;;;Paris;10
154;Métro;BROCHANT;3434660;13;;;;;Paris;17
252;Métro;NOTRE-DAME-DES-CHAMPS;2016157;12;;;;;Paris;6
161;Métro;GARIBALDI;3341274;13;;;;;Saint Ouen;
264;Métro;SAINT-SEBASTIEN-FROISSART;1785413;8;;;;;Paris;3
274;Métro;SEGUR;1635557;10;;;;;Paris;15
51;RER;LOGNES;1584501;A;;;;;Lognes;
37;RER;NOISIEL;2687790;A;;;;;Noisiel;
15;Métro;FRANKLIN D. ROOSEVELT;11571562;1;9;;;;Paris;8
31;Métro;HAVRE-CAUMARTIN;7506005;3;9;;;;Paris;9
13;RER;ANTONY;6320636;B;;;;;Antony;
32;RER;LAPLACE;3336242;B;;;;;Arcueil;
35;Métro;MAIRIE DE CLICHY;7138355;13;;;;;Clichy;
102;Métro;ECOLE MILITAIRE;4565508;8;;;;;Paris;7
137;Métro;PORTE DE LA VILLETTE;3712707;7;;;;;Paris;19
172;Métro;BOULOGNE-PONT DE SAINT-CLOUD;3081186;10;;;;;Boulogne Billancourt;
231;Métro;VAVIN;2275955;4;;;;;Paris;14
239;Métro;MAISONS-ALFORT-LES JUILLIOTTES;2124343;8;;;;;Maisons -Alfort;
2;Métro;SAINT-LAZARE;45309544;3;9;12;13;14;Paris;8
272;Métro;MONCEAU;1662064;2;;;;;Paris;17
53;Métro;ANVERS;6432199;2;;;;;Paris;18
4;RER;CHATELET-LES HALLES-RER;26017693;A;B;;;;Paris;1
80;Métro;PORTE DE PANTIN;5103076;5;;;;;Paris;19
64;Métro;LES SABLONS;5795500;1;;;;;Neuilly Sur Seine;
84;Métro;CRETEIL-PREFECTURE;4986457;8;;;;;Créteil;
77;Métro;ALESIA;5124204;4;;;;;Paris;14
94;Métro;BASILIQUE DE SAINT-DENIS;4782355;13;;;;;Saint Denis;
