identifiant commerce;point geo;dea_jour_fermeture;dea_numero_rue_livraison;dea_code_postal_livraison;dea_commune_livraison;dea_nom_commerce
530504;48.856246, 2.323946;;14 Av. de Tourville;75007;Paris;Tabac Le Lutécia
530511;48.784344, 2.381742;Lundi;110 Av. du Colonel Fabien;94400;Vitry-sur-Seine;Le Gitane
540308;48.884769, 2.335947;;188 rue Ordener;75018;Paris;La Renaissance
510491;48.855591, 2.133555;;4 Quai Georges Clémenceau;78380;Bougival;Le Clémenceau
510500;48.881508, 2.232296;Dimanche;81 Av du Gén. de Gaulle;92800;Puteaux;Le Totem
510508;48.913623, 2.292275;Dimanche;22 Bd Voltaire;92600;Asnières-sur-Seine;Le Voltaire
510595;48.892534, 2.281958;Lundi;12 rue Trébois;92300;Levallois-Perret;Le Presse Book
520233;48.852471, 2.404497;Dimanche;269 rue des Pyrénées;75020;Paris;Le Capitole
520349;48.872522, 2.373632;Dimanche;156 rue La Fayette;75010;Paris;Le Lutétia
520359;48.920796, 2.483518;;6 rue Léon;93600;Aulnay-sous-Bois;Presse du Quartier
520389;48.852471, 2.404497;Dimanche;3 rue de Bagnolet;75020;Paris;Le Saint-Claude
520407;48.852471, 2.404497;Lundi;113 rue des Pyrénées;75020;Paris;L'Aubisque
520429;48.860773, 2.385278;;109 rue de Charonne;75011;Paris;Le Normandie
520468;48.880661, 2.377187;;9 Av. Secrétan;75019;Paris;Le Calumet
520607;48.921989, 2.370849;;93 Av. de la République;93300;Aubervilliers;Le Madison
530305;48.849498, 2.347052;Dimanche;123 rue Monge;75005;Paris;Le Rond-Point
530384;48.831735, 2.367073;Dimanche;137 Bd Auguste Blanqui;75013;Paris;Maison de la Presse
530396;48.804137, 2.460826;;8 Bd Montaigut;94000;Créteil;Tabac - Presse
530449;48.822205, 2.421542;;264 rue du Mar. Leclerc;94410;Saint-Maurice;Café du Centre
530528;48.839047, 2.332933;Dimanche;141 rue Raymond Losserand;75014;Paris;La Civette 14
540257;48.880661, 2.377187;Dimanche;212 Av. Jean Jaurès;75019;Paris;Tabac L'Horloge
510075;48.875598, 2.194162;Dimanche;4 All. de L'Hôtel de Ville;92500;Rueil-Malmaison;Le Tobacco
510376;48.86797, 2.27538;Dimanche;37 rue Chanez;75016;Paris;La Civette d'Auteuil
510402;48.869491, 2.223011;;100 rue de la Liberté;92150;Suresnes;Le Charles X
510532;48.827616, 2.242153;Dimanche;127 bd Jean Jaurès;92100;Boulogne-Billancourt;Le Lutétia
510549;48.790711, 2.221407;Dimanche;29 Av. du Général de Gaulle;92360;Meudon-la-Forêt;Tabac Le Joli Mai
510552;48.824202, 2.220115;;21  Grande Rue;92310;Sèvres;La Belle Polle
520329;48.999638, 2.374782;;5 Av. du 8 mai 1945;95200;Sarcelles;La Régence
520399;48.967657, 2.357364;Dimanche;203 Av. Elisée Reclus;93380;Pierrefitte-sur-Seine;Le Ninos
520443;48.92996, 2.35306;Dimanche;149 rue Gabriel Péri;93200;Saint-Denis;Le Tabac du Barrage
520563;48.852471, 2.404497;Dimanche;3 Pl. Auguste Metivier;75020;Paris;Café Tabac leTiercé
530219;48.751833, 2.32521;Jeudi;5 All. des Fleurs;94260;Fresnes;La Cerisaie
530509;48.831735, 2.367073;Dimanche;20 Bd Arago;75013;Paris;Tabac Le Marijan
510015;48.90196, 2.299159;Dimanche;7 Bd Jean Jaurès;92110;Clichy;Le Maryland
