JOUR,CODE_STIF_TRNS,CODE_STIF_RES,CODE_STIF_ARRET,LIBELLE_ARRET,ID_REFA_LDA,CATEGORIE_TITRE,NB_VALD,date
20/12/2022,100,110,614,OURCQ,71972,FGT,408,2022
20/12/2022,100,110,614,OURCQ,71972,IMAGINE R,1507,2022
20/12/2022,100,110,614,OURCQ,71972,NAVIGO,5457,2022
20/12/2022,100,110,614,OURCQ,71972,NAVIGO JOUR,9,2022
20/12/2022,100,110,614,OURCQ,71972,NON DEFINI,268,2022
20/12/2022,100,110,614,OURCQ,71972,TST,831,2022
20/12/2022,100,110,618,PALAIS-ROYAL,71297,?,128,2022
20/12/2022,100,110,618,PALAIS-ROYAL,71297,AMETHYSTE,220,2022
20/12/2022,100,110,618,PALAIS-ROYAL,71297,AUTRE TITRE,2512,2022
20/12/2022,100,110,618,PALAIS-ROYAL,71297,FGT,248,2022
20/12/2022,100,110,618,PALAIS-ROYAL,71297,IMAGINE R,3368,2022
20/12/2022,100,110,618,PALAIS-ROYAL,71297,NAVIGO,7919,2022
20/12/2022,100,110,618,PALAIS-ROYAL,71297,NAVIGO JOUR,123,2022
20/12/2022,100,110,618,PALAIS-ROYAL,71297,NON DEFINI,621,2022
20/12/2022,100,110,618,PALAIS-ROYAL,71297,TST,396,2022
20/12/2022,100,110,625,PARMENTIER,71801,?,119,2022
20/12/2022,100,110,625,PARMENTIER,71801,AMETHYSTE,200,2022
20/12/2022,100,110,625,PARMENTIER,71801,AUTRE TITRE,955,2022
20/12/2022,100,110,625,PARMENTIER,71801,FGT,194,2022
20/12/2022,100,110,625,PARMENTIER,71801,IMAGINE R,1413,2022
20/12/2022,100,110,625,PARMENTIER,71801,NAVIGO,4070,2022
20/12/2022,100,110,625,PARMENTIER,71801,NAVIGO JOUR,19,2022
20/12/2022,100,110,625,PARMENTIER,71801,NON DEFINI,283,2022
20/12/2022,100,110,625,PARMENTIER,71801,TST,355,2022
20/12/2022,100,110,626,PASSY,71237,?,144,2022
20/12/2022,100,110,626,PASSY,71237,AMETHYSTE,169,2022
20/12/2022,100,110,626,PASSY,71237,AUTRE TITRE,1555,2022
20/12/2022,100,110,626,PASSY,71237,FGT,146,2022
20/12/2022,100,110,626,PASSY,71237,IMAGINE R,1730,2022
20/12/2022,100,110,626,PASSY,71237,NAVIGO,4628,2022
20/12/2022,100,110,626,PASSY,71237,NAVIGO JOUR,24,2022
20/12/2022,100,110,626,PASSY,71237,NON DEFINI,270,2022
20/12/2022,100,110,626,PASSY,71237,TST,400,2022
20/12/2022,100,110,628,PASTEUR,71125,?,129,2022
20/12/2022,100,110,628,PASTEUR,71125,AMETHYSTE,264,2022
20/12/2022,100,110,628,PASTEUR,71125,AUTRE TITRE,1226,2022
20/12/2022,100,110,628,PASTEUR,71125,FGT,161,2022
20/12/2022,100,110,628,PASTEUR,71125,IMAGINE R,1814,2022
20/12/2022,100,110,628,PASTEUR,71125,NAVIGO,6369,2022
20/12/2022,100,110,628,PASTEUR,71125,NAVIGO JOUR,17,2022
20/12/2022,100,110,628,PASTEUR,71125,NON DEFINI,290,2022
20/12/2022,100,110,628,PASTEUR,71125,TST,389,2022
20/12/2022,100,110,630,PELLEPORT,71828,?,21,2022
20/12/2022,100,110,630,PELLEPORT,71828,AMETHYSTE,41,2022
20/12/2022,100,110,630,PELLEPORT,71828,AUTRE TITRE,82,2022
20/12/2022,100,110,630,PELLEPORT,71828,FGT,33,2022
20/12/2022,100,110,630,PELLEPORT,71828,IMAGINE R,144,2022
20/12/2022,100,110,630,PELLEPORT,71828,NAVIGO,418,2022
20/12/2022,100,110,630,PELLEPORT,71828,NAVIGO JOUR,5,2022
20/12/2022,100,110,630,PELLEPORT,71828,NON DEFINI,38,2022
20/12/2022,100,110,630,PELLEPORT,71828,TST,58,2022
20/12/2022,100,110,631,PEREIRE,71453,?,141,2022
20/12/2022,100,110,631,PEREIRE,71453,AMETHYSTE,165,2022
20/12/2022,100,110,631,PEREIRE,71453,AUTRE TITRE,1193,2022
20/12/2022,100,110,631,PEREIRE,71453,FGT,137,2022
20/12/2022,100,110,631,PEREIRE,71453,IMAGINE R,1285,2022
20/12/2022,100,110,631,PEREIRE,71453,NAVIGO,3992,2022
20/12/2022,100,110,631,PEREIRE,71453,NAVIGO JOUR,20,2022
20/12/2022,100,110,631,PEREIRE,71453,NON DEFINI,222,2022
20/12/2022,100,110,631,PEREIRE,71453,TST,425,2022
20/12/2022,100,110,633,PERE-LACHAISE,71787,?,380,2022
20/12/2022,100,110,633,PERE-LACHAISE,71787,AMETHYSTE,648,2022
20/12/2022,100,110,633,PERE-LACHAISE,71787,AUTRE TITRE,1005,2022
20/12/2022,100,110,633,PERE-LACHAISE,71787,FGT,402,2022
20/12/2022,100,110,633,PERE-LACHAISE,71787,IMAGINE R,1554,2022
20/12/2022,100,110,633,PERE-LACHAISE,71787,NAVIGO,5322,2022
20/12/2022,100,110,633,PERE-LACHAISE,71787,NAVIGO JOUR,25,2022
20/12/2022,100,110,633,PERE-LACHAISE,71787,NON DEFINI,343,2022
20/12/2022,100,110,633,PERE-LACHAISE,71787,TST,732,2022
20/12/2022,100,110,636,PERNETY,412687,?,129,2022
20/12/2022,100,110,636,PERNETY,412687,AMETHYSTE,302,2022
20/12/2022,100,110,636,PERNETY,412687,AUTRE TITRE,857,2022
20/12/2022,100,110,636,PERNETY,412687,FGT,208,2022
20/12/2022,100,110,636,PERNETY,412687,IMAGINE R,1374,2022
20/12/2022,100,110,636,PERNETY,412687,NAVIGO,4026,2022
20/12/2022,100,110,636,PERNETY,412687,NAVIGO JOUR,29,2022
20/12/2022,100,110,636,PERNETY,412687,NON DEFINI,218,2022
20/12/2022,100,110,636,PERNETY,412687,TST,414,2022
