stop_point_id;accessibility_level_id;accessibility_level_name;commentaire;stop_name;stop_point_geopoint
stop_point:IDFM:monomodalStopPlace:43163;3;train accessible sur réservation préalable auprès du service AssistenGare;;Meudon Val Fleury;48.807552358196936, 2.2409419171683633
stop_point:IDFM:monomodalStopPlace:46850;3;train accessible sur réservation préalable auprès du service AssistenGare;;Montfort-l'Amaury - Méré;48.802662371849536, 1.8158352700699214
stop_point:IDFM:monomodalStopPlace:44161;1;gare ou arrêt non accessible;;Montgeroult - Courcelles;49.080811910011626, 2.0029460458068105
stop_point:IDFM:monomodalStopPlace:47184;1;gare ou arrêt non accessible;;Mormant;48.61409277056721, 2.88807855133882
stop_point:IDFM:monomodalStopPlace:47482;1;gare ou arrêt non accessible;;Nanteuil - Saâcy;48.97400193831618, 3.2194260927085296
stop_point:IDFM:monomodalStopPlace:43172;4;train accessible sur demande auprès d'un agent en station;;Neuilly-Plaisance;48.85252451313788, 2.5145898211367705
stop_point:IDFM:monomodalStopPlace:46552;3;train accessible sur réservation préalable auprès du service AssistenGare;;Nogent - Le Perreux;48.839991175687295, 2.4939549579206104
stop_point:IDFM:monomodalStopPlace:48489;3;train accessible sur réservation préalable auprès du service AssistenGare;;Orangis Bois de l'Épine;48.6363396147683, 2.40769076622141
stop_point:IDFM:monomodalStopPlace:411421;1;gare ou arrêt non accessible;;Orry-la-Ville - Coye;49.13840546145438, 2.489862086302069
stop_point:IDFM:monomodalStopPlace:43086;4;train accessible sur demande auprès d'un agent en station;;Orsay Ville;48.6975077019159, 2.1808087044597166
stop_point:IDFM:monomodalStopPlace:479035;1;gare ou arrêt non accessible;;Paris-Bercy Bourgogne - Pays d'Auvergne;48.83858620193177, 2.384209720351069
stop_point:IDFM:monomodalStopPlace:43179;3;train accessible sur réservation préalable auprès du service AssistenGare;;Pierrefitte - Stains;48.96277628555098, 2.3703314284767747
stop_point:IDFM:monomodalStopPlace:47885;3;train accessible sur réservation préalable auprès du service AssistenGare;;Plaisir - Grignon;48.831926089228816, 1.943537514733802
stop_point:IDFM:monomodalStopPlace:411458;1;gare ou arrêt non accessible;;Pont-sur-Yonne;48.286200143295794, 3.201822135556628
stop_point:IDFM:monomodalStopPlace:43183;1;gare ou arrêt non accessible;;Porchefontaine;48.79654475986442, 2.1522340489858127
stop_point:IDFM:monomodalStopPlace:411326;1;gare ou arrêt non accessible;;Précy-sur-Oise;49.20347714232073, 2.377341204610025
stop_point:IDFM:monomodalStopPlace:47946;1;gare ou arrêt non accessible;;Presles - Courcelles;49.11367528279733, 2.2878509419549213
stop_point:IDFM:monomodalStopPlace:43184;3;train accessible sur réservation préalable auprès du service AssistenGare;;Puteaux;48.8833721630466, 2.2336164976472146
stop_point:IDFM:monomodalStopPlace:43186;4;train accessible sur demande auprès d'un agent en station;;Robinson;48.78023982792202, 2.281364769669608
stop_point:IDFM:monomodalStopPlace:47171;1;gare ou arrêt non accessible;;Sainte-Colombe Septveilles;48.52915312687445, 3.2553403241826864
stop_point:IDFM:monomodalStopPlace:45814;1;gare ou arrêt non accessible;;Saint-Fargeau;48.56502608446919, 2.5426100742385285
stop_point:IDFM:monomodalStopPlace:411329;1;gare ou arrêt non accessible;;Saint-Leu-d'Esserent;49.21379460642065, 2.417071454431694
stop_point:IDFM:monomodalStopPlace:47953;1;gare ou arrêt non accessible;;Saint-Mammès;48.38264713543743, 2.816506976966753
stop_point:IDFM:monomodalStopPlace:44801;4;train accessible sur demande auprès d'un agent en station;;Saint-Maur - Créteil;48.80619648110731, 2.4729094308778183
stop_point:IDFM:monomodalStopPlace:47954;3;train accessible sur réservation préalable auprès du service AssistenGare;;Saint-Nom-la-Bretèche Forêt de Marly;48.867096240827834, 2.051299627156171
